id,audio_url,title,artist,album,duration,release_year,cover
9TwPZYt33tI,https://www.youtube.com/watch?v=9TwPZYt33tI,Kho Gaye Hum Kahan,"Jasleen Royal, Prateek Kuhad",Baar Baar Dekho,213,2016.0,https://i.ytimg.com/vi_webp/9TwPZYt33tI/maxresdefault.webp
0c65c2rDAo0,https://www.youtube.com/watch?v=0c65c2rDAo0,Magic | Coke Studio Bharat,"Diljit Dosanjh, thiarajxtt",Magic | Coke Studio Bharat,234,2024.0,https://i.ytimg.com/vi_webp/0c65c2rDAo0/maxresdefault.webp
wScs3JNn8Lg,https://www.youtube.com/watch?v=wScs3JNn8Lg,With You,"AP Dhillon, Shinda Kahlon",With You,155,2023.0,https://i.ytimg.com/vi_webp/wScs3JNn8Lg/maxresdefault.webp
0l8qP_JvNOk,https://www.youtube.com/watch?v=0l8qP_JvNOk,Dil Mere,"The Local Train, Paras Thakur, Ramit Mehra, Sahil Sarin, Raman Negi",Aalas Ka Pedh,211,2015.0,https://i.ytimg.com/vi_webp/0l8qP_JvNOk/maxresdefault.webp
KWuyx6yZ21U,https://www.youtube.com/watch?v=KWuyx6yZ21U,A Sky Full of Stars,Coldplay,Ghost Stories,268,2014.0,https://i.ytimg.com/vi_webp/KWuyx6yZ21U/maxresdefault.webp
UM4n3jTu6Q4,https://www.youtube.com/watch?v=UM4n3jTu6Q4,Rich Love,"OneRepublic, Seeb",Rich Love,201,2017.0,https://i.ytimg.com/vi_webp/UM4n3jTu6Q4/maxresdefault.webp
VcDYyicQtgU,https://www.youtube.com/watch?v=VcDYyicQtgU,Tera Woh Pyar (Nawazishein Karam),Momina Mustehsan & Asim Azhar,Coke Studio Season 9: Sound of the Nation,425,2016.0,https://i.ytimg.com/vi_webp/VcDYyicQtgU/maxresdefault.webp
yqsJsO8H-oA,https://www.youtube.com/watch?v=yqsJsO8H-oA,DJ Got Us Fallin' In Love,"Usher, Pitbull",Raymond v Raymond (Expanded Edition),221,2010.0,https://i.ytimg.com/vi_webp/yqsJsO8H-oA/maxresdefault.webp
59nAgJZ5IoE,https://www.youtube.com/watch?v=59nAgJZ5IoE,Mirrors,Justin Timberlake,The 20/20 Experience (Deluxe Version),484,2013.0,https://i.ytimg.com/vi_webp/59nAgJZ5IoE/maxresdefault.webp
3Jxxmck87nk,https://www.youtube.com/watch?v=3Jxxmck87nk,Man Down,The Eden Project,Bipolar Paradise,315,2018.0,https://i.ytimg.com/vi_webp/3Jxxmck87nk/maxresdefault.webp
